INC_NUM,CALL_TYPE,RPT_DTTM,ADDR,BEAT,ROLE,NAME_FULL,DOB,SEX,DL_NUM
2026-000210,BURG,2026/03/02 08:15,"14 MAPLE ST",3A,VICT,"ALVAREZ, ROSA",05/21/1961,F,B2201884
2026-000210,BURG,2026/03/02 08:15,"14 MAPLE ST",3A,WITN,"CHEN, MEI L",09/12/1993,F,R88-40021
2026-000237,BURG,2026/03/05 22:40,"9 OAK ST",3A,VICT,"HALE, MARY",04/02/1966,F,T1002993
2026-000237,BURG,2026/03/05 22:40,"9 OAK ST",3A,RP,"CHEN, MEI",09/12/1993,F,R8840021
2026-000237,BURG,2026/03/05 22:40,"9 OAK ST",3A,SUSP,"MERCER, DALE J",08/30/1987,M,UNK
2026-000262,BURG,2026/03/09 03:05,"51 PINE AVE",3A,VICT,"WHITFIELD, TOM",02/14/1955,M,P7719004
2026-000262,BURG,2026/03/09 03:05,"51 PINE AVE",3A,WITN,"CHEN, MEI L",09/12/1993,F,r8840021
2026-000262,BURG,2026/03/09 03:05,"51 PINE AVE",3A,SUSP,"MERCER, DALE",08/30/1987,M,N/A
2026-000288,THEFT,2026/03/11 16:20,"200 COMMERCE WAY",1C,SUSP,"CHEN, MEI L",09/12/1993,F,R88-40021
2026-000288,THEFT,2026/03/11 16:20,"200 COMMERCE WAY",1C,RP,"OKAFOR, ADA",12/01/1979,F,R5540021
2026-000301,MVA,2026/03/12 07:50,"US 6 AT CANYON RD",1C,VICT,"OKAFOR, ADA",12/01/1979,F,R5540021
2026-000301,MVA,2026/03/12 07:50,"US 6 AT CANYON RD",1C,WITN,"WHITFIELD, TOM",02/14/1955,M,P7719004
